bare	accented	translations_en	translations_de
незачем	не'зачем	no need, it is useless	es lohnt nicht
приветливо	приве'тливо	friendly, welcoming	freundlich
вкусно	вку'сно	it is tasty, delicious, palatable, savoury	lecker, schmackhaft
поодаль	поо'даль	at some distance, aloof	in einiger Entfernung, etwas weiter
явственно	я'вственно		klar, deutlich, vernehmlich
шестеро	ше'стеро	six	sechs
кг	кг		Abkürzung Kilogramm
принципиально	принципиа'льно	on principle, in the main, in essence	prinzipiell, grundsätzlich, prinzipienfest, prinzipientreu
неинтересно	неинтере'сно		uninteressant
отрицательно	отрица'тельно	negatively	negativ
характерно	характерно	characteristically	charakteristisch, wesenseigen; charaktervoll (mit starkem Charakter, willensstark)
смирно	смирно	quietly	ruhig, still
умело	уме'ло	skilfully	geschickt
невесть	невесть		unklar; irdendwelche; wer weiss was
набок	на'бок	on one side, awry, sideways	zur Seite, schief
уютно	ую'тно	cosily, comfortably	gemütlich, behaglich
нечаянно	неча'янно	by accident, accidentally, inadvertently	unabsichtlich, versehentlich
эдак	эдак		so, so etwa
мило	ми'ло	nice, nicely, pretty, prettily	lieb, nett; süss, hübsch
незадолго	незадо'лго	shortly, not long	kurz vor
тайком	тайко'м	secretly, in secret, surreptitiously, by stealth, on the quiet, on the sly	heimlich, im stillen
тв	тв		Abkürzung (zum Beispiel für телевизор)
наподобие	наподо'бие	like, not unlike	in der Art von; ähnlich wie (bei), analog zu
сочувственно	сочу'вственно	with sympathy, sympathetically	mitfühlend, teilnehmend
выгодно	вы'годно	it is advantageous, it is profitable, it pays, advantageously	vorteilhaft, nützlich, gewinnbringend, günstig
великолепно	великоле'пно	splendidly; magnificently, stunningly	großartig, prachtvoll, herrlich
добродушно	доброду'шно	with bonhomie, with friendliness, with cordiality	gutmütig
энергично	энерги'чно		energisch
сердечно	серде'чно		herzlich, von Herzen
бешено	бе'шено		tollwütig, wütend, rasend, wahnsinnig
демонстративно	демонстрати'вно		demonstrativ
истинно	и'стинно	truly, really	wahr, echt, wirklich, tatsächlich
бесследно	бессле'дно	without leaving a trace	spurlos
звонко	зво'нко		klangvoll, hell, stimmhaft
душно	ду'шно	air stuffy	schwül; stickig
облегченно	облегченно		erleichtert
болезненно	боле'зненно	painfully, badly, oversensitively	kränklich, schmerzhaft, schmerzlich, krankhaft
гладко	гла'дко	smoothly	glatt, eben; einfarbig (uni)
сугубо	сугу'бо	especially, particularly	äusserst, höchst
убедительно	убеди'тельно		überzeugend, eindringlich
страстно	стра'стно	passionately, with passion	leidenschaftlich
подчас	подча'с	sometimes, at times	zuweilen, mitunter
вверху	вверху'	above, overhead	oben
славно	сла'вно	it is nice, famously, well	gut, fein, nett, sympathisch
хм	хм		ähem, hm
посредине	посреди'не	Middle, in the middle; Halfway	mittendrin
косо	ко'со	slantwise, obliquely, aslant, askew, asquint	schief, schräg, scheel
беличенко	беличенко		Eigenname
напрямую	напряму'ю	Directly	direkt, unmittelbar, aus erster Hand; geradeaus, gerade, grade; geradeheraus
насмерть	насмерть	to die	tödlich, zu Tode
безумно	безу'мно	madly, awfully, frightfully	wahnsinnig, irrsinnig
веня	веня		Eigenname
неясно	нея'сно		unklar; undeutlich / diffus
настежь	на'стежь	wide	sperrangelweit
алло	алло'	hello on the phone	Hallo am Telefon
деликатно	делика'тно	delicately	zartfühlend, feinfühlig, rücksichtsvoll; heikel, delikat
надобно	на'добно	necessary	notwendig, nötig
добром	добро'м		in aller Güte, ohne Zwang
исподлобья	исподло'бья		mit gerunzelter Stirn, finster, mürrisch
ль	ль		ob (auch zur Kennzeichnung einer indirekten Frage)
назло	назло'	to spite	zum Trotz, (jetzt) erst recht
задолго	задо'лго	long before, well in advance	lange vor
навеки	наве'ки	for ever, for good, for ever and ever	auf ewig, für immer
забавно	заба'вно	it is fun, amusingly, in an amusing way	lustig, drollig
восторженно	восто'рженно	enthusiastically, rapturously	begeistert
параллельно	паралле'льно	parallel, simultaneously, at the same time	parallel
решетнев	решетнев		-
впредь	впредь	henceforth, henceforward, in future, for the future, in the future, from this time onward	künftig, von nun an
обыкновенно	обыкнове'нно	usually, as a rule	gewöhnlich
формально	форма'льно	nominally, formally	formell
вправе	впра'ве		berechtigt
любезно	любе'зно	kindly, courteously, politely, nicely	liebenswürdig
достойно	досто'йно	suitably, fittingly, with dignity	verdient; würdig; wert
враз	враз	all together, simultaneously	sofort; gleichzeitig
босиком	босико'м	barefoot	barfuß
гулко	гу'лко		widerhallend
украдкой	укра'дкой	by stealth, stealthily, furtively	heimlich, verstohlen, im stillen
публично	публи'чно	publicly, in public, openly	öffentlich
сверх	сверх	over, besides, above, beyond	über, auf, mehr als, außer, zusätzlich zu, wider
дружески	дру'жески		freundschaftlich, familiär
су	су	sou	Su
тщетно	тще'тно	vainly, in vain	vergebens, umsonst
озабоченно	озабо'ченно		besorgt, sorgenvoll, bekümmert, bedrückt
ежегодно	ежего'дно	yearly, every year, annually	alljährlich, jedes Jahr
воистину	вои'стину	truly, in truth, indeed, verily	tatsächlich, wirklich, in der Tat
вдаль	вдаль	far	in die Ferne
иль	иль		oder, etwa
нагло	на'гло		frech, unverschämt
угу	угу'		hmm, ja, einverstanden
морально	мора'льно	morally	moralisch, sittlich
чуточку	чу'точку	a little, a wee bit, just a bit	ein klein wenig
достоверно	достове'рно	for certain for sure	zuverlässig, sicher, glaubwürdig
надёжно	надёжно		sicher, zuverlässig, verläßlich
плоткин	плоткин		---
поразительно	порази'тельно	amazing, astonishing	überraschend, erstaunlich
загадочно	зага'дочно		rätselhaft
условно	усло'вно	on condition that, conditionally	bedingt, bedingungsweise
долл	долл		Dollar
девятьсот	девятьсо'т	nine hundred	neunhundert
давеча	да'веча	lately, recently	neulich, vor kurzem
покрепче	покре'пче		etwas └ fester / stärker ┘; so └ fest / stark ┘ wie möglich
детски	детски		kindlich, auf Kinderkram bezogen
серо	серо	grey; cloudily	grau
назавтра	наза'втра	the next day	am nächsten Tag, tags darauf
пронзительно	пронзи'тельно	shrilly, piercingly, stridently	durchdringend
грязно	гря'зно	it is dirty, dirtily, untidily	schmutzig
вконец	вконе'ц	completely, utterly	gänzlich, ganz und gar, vollends
профессионально	профессиона'льно		Berufs-, Fach-, beruflich, fachlich
логично	логи'чно	logical, logically	logischerweise
взад	взад		zurück
шестьсот	шестьсо'т	six hundred	sechshundert
извне	извне'	from without	von außen
долой	доло'й	down with, away with	weg; nieder
периодически	периоди'чески	periodically	periodisch, zyklisch, ab und an; regelmäßig
нестерпимо	нестерпи'мо		unerträglich
одобрительно	одобри'тельно	approvingly, with approval	anerkennend
общественно	обще'ственно	socially	gesellschaftlich, öffentlich
искоса	и'скоса	askance, aslant	von der Seite, schief
горестно	го'рестно	sorrowfully, sadly	kummervoll, traurig
ба	ба		bah
хитро	хитро	slyly, cunningly, intricately, with cunning, adroitly	schlau, listig
поневоле	понево'ле	willy-nilly	notgedrungen / gezwungenermaßen; zwangsläufig, wohl oder übel
наугад	науга'д	at random, by guess-work	aufs Geratewohl, auf gut Glück
наглухо	на'глухо	tight, hermetically	fest, dicht, hermetisch
безуспешно	безуспе'шно	to no effect, without success, unsuccessfully	erfolglos
ото	ото		von, seit, gegen (eine Krankheit)
наперёд	наперёд	in advance	von vornherein
масхадов	масхадов		Eigenname
каролина	каролина		Eigenname
кратко	кра'тко	briefly	kurz, knapp, in knappen Worten
посему	посему'	Therefore, thence	aus eben diesem Grunde
ди	ди		zwei, bi-
бледно	бледно		bleich, blaß
аль	аль		oder
вредно	вре'дно	harmful, hurtful; unhealthy	schädlich, ungesund
сроду	сро'ду		nie, niemals, mein Leben lang nicht
ао	ао		Abkürzung z.B. für автономная ообласть
семеро	се'меро	seven	sieben; zu siebent
наскоро	на'скоро	hastily, hurriedly, slapdash	auf die Schnelle, eilig, hastig
бокарев	бокарев		Eigenname
кабы	кабы	If, if only	wenn doch, wenn ja
отовсюду	отовсю'ду	from everywhere, from every quarter	von überall, von allen Seiten
понимающе	понима'юще		verständnisvoll
главый	главый		-köpfig, mit ... Türmen
никитич	никитич		Eigenname
многократно	многокра'тно	repeatedly, many times, over and over again	vielfach
неестественно	неесте'ственно		unnatürlich, gekünstelt, gezwungen
поочерёдно	поочерёдно	in turn, by turns	abwechselnd
полуночь	полуночь		siehe по̀лночь
почём	почём		wie viel, wie, woher
разумно	разу'мно	reasonably, judiciously, wisely, cleverly, sensibly	vernünftig, vernunftmäßig, vernunftbegabt, verständig; sinnvoll, klug, weise
вдогонку	вдого'нку	after, in pursuit of	unmitelbar hinterher
превосходно	превосхо'дно	perfectly; excellent, first-rate	ausgezeichnet, perfekt
неуклюже	неуклю'же	awkwardly	ungeschickt, plump, ungefüge
добросовестно	добросо'вестно		gewissenhaft
изначально	изнача'льно	originally	ursprünglich, von Haus aus
восемьсот	восемьсо'т	eight hundred	achthundert
неудачно	неуда'чно		mißlungen
оживлённо	оживлённо	animatedly, with animation	lebhaft, belebt, rege
бородкин	боро'дкин		Eigenname
насильно	наси'льно	by force, under compulsion	gewaltsam, mit Gewalt
средь	средь	amid, among	inmitten
тошно	то'шно		ekelhaft, eklig
исправно	испра'вно		in gutem Zustand, unbeschädigt, unversehrt, intakt
заботливо	забо'тливо		sorgsam, fürsorglich, aufmerksam
беспощадно	беспоща'дно		erbarmungslos, schonungslos
беспокойно	беспоко'йно	uneasily	unruhig, ruhelos
зябко	зя'бко		verfroren
наяву	наяву'	when one is awake	in Wirklichkeit, in Wachheit
неверно	неве'рно	it is not true, incorrectly	falsch, unrichtig; untreu, treulos
налицо	налицо'		offenbar, offensichtlich
втайне	вта'йне	in secret, secretly	insgeheim, heimlich, im stillen
наивно	наи'вно		naiv
властно	вла'стно	bossily; imperiously	gebieterisch, herrisch
последовательно	после'довательно	constantly, consecutively	nacheinander, folgerichtig, konsequent
семьсот	семьсо'т	seven hundred	siebenhundert
напрочь	на'прочь	without a trace	überhaupt, ganz und gar
гувд	гувд		Abkürzung für Главное управление внутренних дел
спешно	спе'шно	in haste, hastily	eilig, hastig, dringend, dringlich
спереди	спе'реди	in front	vorn, von vorn, nach vorn; vor, auf der Vorderseite
ослепительно	ослепи'тельно		blendend
помалу	помалу		langsam, nach und nach, allmählich
изумленно	изумленно		erstaunt
вмиг	вмиг	in an instant, in a moment, in a flash, in a twinkling, in no time	im Nu, im Handumdrehen
внятно	вня'тно	distinctly	klar
беспрерывно	беспреры'вно	continuously, uninterruptedly, without a break	ununterbrochen, unaufhörlich, unausgesetzt
вдалеке	вдалеке'	in the distance, at a distance, far off	in der Ferne
дополнительно	дополни'тельно	in addition	zusätzlich, ergänzend, extra, nachträglich
прохладно	прохла'дно	it is a little cold	es ist kühl, es ist frisch
бурно	бу'рно		stürmisch
обильно	оби'льно		reichlich, ausgiebig, reich
невдалеке	невдалеке'	not far off	nicht weit, in der Nähe
гневно	гне'вно	angrily, wrathfully	zornig
неприлично	неприли'чно	indecently	unanständig, anstößig
таинственно	таи'нственно		geheimnisvoll
усиленно	уси'ленно		intensiv, angelegentlich
традиционно	традицио'нно	traditionally	traditionell
невесело	неве'село		mißmutig, unlustig, traurig, betrübt
наготове	нагото'ве	at call, in readiness	in Bereitschaft, bereit
вдребезги	вдре'безги	into smithereens	in tausend kleine Stückchen
собственноручно	собственнору'чно		eigenhändig
усердно	усе'рдно	hard, diligently	eifrig, fleißig, geflissentlich
невзначай	невзнача'й	by chance, quite unexpectedly	unversehens, unvermutet
нарочито	нарочи'то	deliberately, intentionally, expressly	absichtlich, betont
врасплох	враспло'х	unawares, by surprise	unerwartet, völlig überraschend, überrumpelt
поминутно	помину'тно		jeden Augenblick
бессильно	бесси'льно		kraftlos, schwach, machtlos, ohnmächtig
дурно	ду'рно	badly, bad, ill	schlecht, schlimm, übel, böse
культурно	культу'рно		kulturell
искусственно	иску'сственно	artificially	künstlich, unecht, falsch
объективно	объекти'вно		objektiv
секретно	секре'тно	secretly, covertly, in secret	geheim
убеждённо	убеждённо	with conviction	überzeugt, ehrlich
непросто	непро'сто	not easy; no simple task; not directly accomplishable	nicht gerade einfach
скверно	скве'рно	badly	schlimm, schlecht
бесспорно	бесспо'рно	there is no doubt, indisputably, unquestionably, undoubtedly, to be sure, assuredly, beyond question	unbestreitbar, unstreitig
охотничье	охотни'чье		Siehe: охотничий
наспех	на'спех	in a hurry, carelessly, in a slapdash manner	in aller Eile
намертво	на'мертво	tightly, fast	ganz fest, unzertrennbar
взволнованно	взволно'ванно	with emotion, with agitation	aufgeregt, bewegt
вдоволь	вдо'воль	in plenty, in abundance	reichlich, zur Genüge
рядышком	ря'дышком	near, nearby, alongside	gleich hier, ganz nah
попутно	попу'тно	in passing, incidentally, at the same time	zugleich, gleichzeitig, nebenbei, beiläufig
вторично	втори'чно	a second time, for the second time	wiederholt, zum zweitenmal, nochmals
заведомо	заве'домо	wittingly, deliberately	wissentlich
крупно	кру'пно		groß, bedeutend; grob
мимоходом	мимохо'дом	in passing, by the way	im Vorübergehen, unterwegs, beiläufig
вызывающе	вызыва'юще		herausfordernd, auffällig, frech
ехидно	ехи'дно		giftig, böse
материально	материа'льно		materiell
однозначно	однозна'чно		eindeutig
сонно	со'нно		schläfrig, verschlafen
вбок	вбок	sideways	zur Seite
солидно	соли'дно		solide
вишь	вишь		na so was, kaum zu glauben
невнятно	невня'тно		unklar, undeutlich, stumm (Vorwurf), unverständlich; unbewusst, ahnungsvoll
скорбно	ско'рбно		trauervoll, gramvoll, schmerzerfüllt
вглубь	вглубь	deep down, deep into	in die Tiefe, tief hinein
челышев	челышев		Eigenname
равномерно	равноме'рно	evenly, uniformly	gleichmäßig
необычно	необы'чно		ungewöhnlich, ungewohnt, sonderbar
доселе	досе'ле	hitherto, up to now	bis heute, bis jetzt
ничком	ничко'м	prone	kopfüber, mit dem Kopf nach unten
некстати	некста'ти	inopportunely, malapropos, irrelevantly, out of place, ineptly	ungelegen, zur unpassenden Zeit
первоначально	первонача'льно	originally	ursprünglich
напросто	напро'сто		просто-напросто. schlichtweg
дёшево	дёшево	cheap, cheaply	billig
отвратительно	отврати'тельно	disgustingly, abominably	abscheulich, widerlich
неспешно	неспе'шно		langsam, gesetzt, nicht eilig
маловато	малова'то	not quite enough, barely sufficient	ein bisschen wenig, etwas zu wenig
анк	анк		Abkürzung z.B. автоматизированный номенклатурный каталог
лукаво	лука'во		listig, hinterlistig, schlau, verschmitzt
механически	механи'чески		mechanisch, maschinell
намеренно	наме'ренно		absichtlich, vorsätzlich
модно	мо'дно		modisch
логически	логи'чески		logisch
неумело	неуме'ло		ungewandt, ungeschickt
поутру	поутру'	in the morning	in der Frühe, am frühen Morgen
пятью	пятью	five times	5 x (in Multiplikationsaufgaben), fünfmal, fünf Mal; Instrumental von пять
любовно	любо'вно		liebevoll, zärtlich
шутливо	шутли'во		scherzhaft, spaßhaft
отрывисто	отры'висто		stammelnd
мо	мо		Abkürzung z.B. für муниципальный оокруг
мтс	мтс		Abkürzung z.B. für МТС (маши̣нно-тракторная станция)
кротко	кро'тко		sanft, mild
положительно	положи'тельно	positively, absolutely	positiv
чрезмерно	чрезме'рно		übermäßig, maßlos, äußerst
своевременно	своевре'менно	in time, in proper time, opportunely	rechtzeitig
подо	по'до		unter, für, als zu
жизненно	жи'зненно		lebenswichtig, lebensnah
наотрез	наотре'з	flatly, point-blank	kategorisch
помаленьку	помале'ньку	little by little, so-so	sachte, allmählich
мешалкина	мешалкина		Eigenname
проворно	прово'рно		gewandt
немыслимо	немы'слимо		undenkbar, unglaublich
чудовищно	чудо'вищно		ungeheuer
бишь	бишь	now	sag einmal, (was) eigentlich
чертовски	черто'вски	devilishly	verdammt
политически	полити'чески		politisch
слепо	сле'по	blindly, blindfold	blind
ненароком	ненаро'ком	inadvertently, by accident	zufällig, unabsichtlich
неуютно	неую'тно		ungemütlich
чудесно	чуде'сно		wunderbar, wunderschön, wundervoll, herrlich
напрямик	напрями'к	straight, point-blank	geradeaus, offen, ohne Umschweife
советско	советско		sowjetisch
застенчиво	засте'нчиво		schüchtern, verlegen
резонно	резо'нно		vernünftig, verständig, sinnvoll, begründet
искусно	иску'сно	skilfully	geschickt, gewandt, kunstvoll
мощно	мо'щно		mächtig, gewaltig, stark, leistungsstark
нипочём	нипочём	never, not for the world, dirt-cheap	kinderleicht, ganz einfach; um nichts in der Welt, ganz sicher. nicht; macht gar nichts aus, hat keine Bedeutung; spottbillig
протяжно	протя'жно	in a drawling manner	gedehnt, langgezogen
грузно	гру'зно	heavily	schwerfallig
идеально	идеа'льно		ideal
сим	сим		Eigenname
скептически	скепти'чески		skeptisch, misstrauisch
изящно	изя'щно		fein, elegant; zierlich, graziös
чередниченко	чередниченко		Eigenname
устрой	устрой		siehe устроить
навечно	наве'чно	for ever, for good, in perpetuity	für immer und ewig
вергасов	вергасов		Eigenname
обреченно	обреченно		hoffnungsleer, verurteilt, verdammt
российско	российско		russisch, auf Russland bezogen
обстоятельно	обстоя'тельно	thoroughly, in detail	gründlich, ausführlich
нахально	наха'льно		frech, unverschämt, unverfroren
мерно	ме'рно		rythmisch
дыбенко	дыбенко		Eigenname
поодиночке	поодино'чке	one at a time, one by one	einzeln, einer nach dem anderen
наперебой	наперебо'й	in eager rivalry, vying with each other	sich gegenseitig ins Wort fallend
злорадно	злора'дно		schadenfroh
неудержимо	неудержи'мо		unaufhaltsam, unbändig, unwiderstehlich
галкина	галкина		Eigenname
неодобрительно	неодобри'тельно		missbilligend
впору	впо'ру	just right, one might as well, one can do little more than	genau richtig
незамедлительно	незамедли'тельно	without delay	unverzüglich
чуток	чуто'к		fast, beinahe
резво	ре'зво		lebhaft, lebendig, beweglich, ausgelassen, flink, schnell
исторически	истори'чески		historisch, geschichtlich
простодушно	простоду'шно		treuherzig
хладнокровно	хладнокро'вно	coolly, in cold blood	kaltblütig
вскользь	вскользь	casually	beiläufig, nebenbei, flüchtig
загодя	за'годя	in good time	im Voraus, vorher
уклончиво	укло'нчиво	evasively	ausweichend
завьялов	завьялов		Eigenname
мужественно	му'жественно	with fortitude	mutig, tapfer, mannhaft
карпенко	карпенко		Eigenname
качественно	ка'чественно		qualitativ
грамотно	гра'мотно	correctly, grammatically, competently	fehlerlos, fachmännisch
раис	раис		Vorsitzender
ядовито	ядовито	venomously, maliciously	giftig
свирепо	свире'по		wütend, grausam
ниоткуда	ниотку'да	from nowhere	nirgendwoher, nirgendher
бегло	бе'гло	fluently, superficially, cursorily	fließend, geläufig; flüchtig (schnell, oberflächlich)
мэри	мэри		Eigenname
втрое	втро'е	three times	dreimal, dreifach, um das Dreifache, auf ein Drittel
издавна	и'здавна	long since, since olden times	von jeher, von alters her
почитай	почита'й	almost, nigh on	sollte man denken, ist zu vermuten; fast, beinahe
впустую	впусту'ю	for nothing, to no purpose, in vain	vergebens, unnütz
безмолвно	безмо'лвно		stumm
ново	ново		neu
некрасиво	некраси'во		hässlich
ильинична	ильинична		Eigenname
глухов	глухов		Eigenname
рысью	ры'сью	at a trot	im Trab; Instrumental singular von "рысь"
дугин	ду'гин		Eigenname
нтв	нтв		NTW (Fernsehsender)
наизнанку	наизна'нку	inside out, on the wrong side	verkehrt herum, mit der Innenseite nach außen
типично	типи'чно	Typically	typisch, kennzeichnend, charakteristisch
законно	зако'нно	it is right, it is in accordance with the law, lawfully, legally	gesetzlich, legitim, gesetzeskonform, rechtmäßig, mit Recht
чудно	чу'дно	it is beautiful, wonderfully, beautifully, oddly, strangely	wundervoll, wunderschön, herrlich
доверчиво	дове'рчиво		arglos, gutgläubig, vertrauensselig
проклятье	проклятье	curse	verflucht
наголо	на'голо	bare	kahl
молчаливо	молчали'во	Silently	schweigsam, stillschweigend
неуклонно	неукло'нно	steadily	stetig, unaufhaltsam, konstant
бессознательно	бессозна'тельно	unconsciously, instinctively	besinnungslos, unbewußt
трезво	тре'зво	soberly, sensibly	nüchtern, vernünftig
мутно	мутно		trübe, getrübt, matt, glanzlos
усс	усс		Eigenname
азартно	аза'ртно	recklessly, heatedly, excitedly	leidenschaftlich, heftig, hitzig
неспроста	неспроста'	not without purpose, with some hidden design	nicht von ungefähr, nicht umsonst
краюшкин	краюшкин		Eigenname
смиренно	смире'нно	humbly, with humility, meekly	demütig, gehorsam, brav
блаженно	блаже'нно		selig, wonnig, verzückt, fromm, naiv
сыро	сы'ро	it is damp	feucht, nass; roh
живьём	живьём	alive	lebend, lebendig, bei lebendigem Leib
отдаленно	отдаленно		entlegen, entfernt
булдаков	булдаков		Eigenname
доступно	доступно		zugänglich, erreichbar, erschwinglich
воедино	воеди'но	together	eins, zusammen, gemeinsam
обрадованно	обра'дованно		erfreut
самолично	самоли'чно	oneself, by oneself	persönlich, selbst
туманно	тума'нно	hazily, obscurely, vaguely; foggy	neblig, nebelhaft, unklar, verschwommen
русско	ру'сско		russisch-
беспечно	беспе'чно	light-heartedly, with complete unconcern	sorglos, leichtsinnig
соло	со'ло	solo	Alleinunterhaltung, Selbstbefriedigung
порядочно	поря'дочно	fair amount, fairly, pretty, rather, decently, honestly	anständig, ehrlich, gehörig, ziemlich groß, bedeutend, beträchtlich
вертикально	вертика'льно		senkrecht, vertikal
сумрачно	сумрачно		finster, dunkel, dämmrig, trübe
свежо	свежо'	it is fresh, it is cool, it is chilly, fresh, coolly	frisch, kühl
психически	психи'чески	mentally	psychisch
беспрепятственно	беспрепя'тственно	without difficulty, without hindrance, without obstruction, freely	ungehindert, ungehemmt, frei
длинно	дли'нно		lang
безвозвратно	безвозвра'тно	irretrievably, irrevocably	unwiederbringlich
критически	крити'чески		kritisch
богато	бога'то		reich, reichlich
беззаботно	беззабо'тно	light-heartedly, carelessly	sorglos, sorgenfrei, unbeschwert
рао	рао		Abkürzung z.B. für академия образования
остроумно	остроу'мно		scharfsinnig, geistreich, witzig
повсеместно	повсеме'стно	everywhere	(all)überall, allgemein (anzutreffen), allerorts
утвердительно	утверди'тельно	affirmatively, in the affirmative	bejahend, zustimmend
невыгодно	невы'годно	it is not advantageous, it does not pay, disadvantageously, not to advantage, at a loss	unvorteilhaft, nachteilig
незаконно	незако'нно		ungesetzlich, gesetzwidrig, widerrechtlich
ревниво	ревни'во		eifersüchtig
экономически	экономи'чески		ökonomisch
тетерин	тетерин		Eigenname
бедно	бе'дно		arm, dürftig, karg
ивашов	ивашов		Eigenname
натурально	натура'льно	naturally, of course	natürlich, selbstverständlich
исподволь	и'сподволь	little by little, leisurely, gradually, by degrees	nach und nach, scheibchenweise, unbemerkt
цепко	це'пко		zäh, hartnäckig
уф	уф		uff
всемирно	всеми'рно		weltweit
неотрывно	неотры'вно		unablässig, ununterbrochen, unverwandt, starr
непостижимо	непостижимо		unfaßbar, unbegreiflich
журков	журков		Eigenname
васин	ва'син		Eigenname
косицын	косицын		Eigenname
зорко	зо'рко	vigilantly, with a vigilant eye	scharf, scharfsichtig
неминуемо	немину'емо	inevitably, unavoidably	unvermeidlich, unumgänglich
чинно	чи'нно		schick, klassisch, toll, astrein, cool
дыбом	ды'бом		zu Berge stehen
стыдливо	стыдли'во	diffidently, bashfully, shyly	schamhaft, verschämt, schüchtern
наглядно	нагля'дно	by visual demonstration, visually, graphically, clearly	anschaulich
благодушно	благоду'шно		seelengut, gutmütig
насовсем	насовсе'м	for keeps	für immer
хозяйски	хозя'йски		auf den Hausherrn bezogen
сполна	сполна'	completely, in full	vollständig, vollzählig, ganz, völlig
гениально	гениа'льно		genial
умно	умно'	it is wise, cleverly, wisely, sensibly	klug, vernünftig
всецело	всеце'ло	completely, entirely, wholly, exclusively	ganz, völlig, vollkommen, vollständig
сипло	си'пло		heiser, krächzend
поныне	поны'не	up to the present, until now, till now	bis jetzt, bisher
нечестно	нечестно		unehrlich, unredlich
огарков	огарков		Eigenname
джексон	джексон		Eigenname
вкратце	вкра'тце		kurz, in Kürze
безмерно	безме'рно	infinitely, beyond all measure	maßlos
наравне	наравне'	on a level, equally	auf gleicher Höhe, ebenbürtig
надвое	на'двое	in two, ambiguously	entzwei, in zwei Teile
благородно	благоро'дно	nobly	edel, edelmütig
паче	па'че		mehr, schlechter, schlimmer
подавно	пода'вно	so much the more, all the more	um so mehr, um so weniger
мокро	мо'кро	it is wet	feucht, klamm, nass
поголовно	поголо'вно	one and all	allgemein
вслепую	вслепу'ю	in the dark, blindly	blindlings, aufs Geratewohl
молниеносно	молниено'сно	with lightning speed	blitzschnell
наперерез	наперере'з		den Weg abschneidend, auf Kollisionskurs
духовно	духо'вно		geistig, seelisch
безоговорочно	безогово'рочно	unreservedly, without reserve, unconditionally	bedingungslos, vorbehaltlos
наискосок	наискосо'к	obliquely, slantwise	schräg gegenüber, diagonal
невмоготу	невмоготу'	unbearable, intolerable	unerträglich, nicht zum Aushalten
веско	ве'ско	with authority	gewichtig, schwerwiegend
полтораста	полтора'ста		hundertfünfzig
оперативно	операти'вно		rasch; operativ
безрезультатно	безрезульта'тно	without result, in vain, to no purpose	ergebnislos
душевно	душе'вно		seelisch; herzlich, vertraulich
шахов	ша'хов		siehe шах
немножечко	немно'жечко	a wee bit	etwas, ein ganz klein wenig
гурьянов	гурьянов		Eigenname
высокомерно	высокоме'рно		hochmütig, dünkelhaft, arrogant
доверху	до'верху	up to the top, to the brim	bis oben
боязливо	боязливо		ängstlich
наземь	на'земь	to the ground, down	zu Boden, auf die Erde, auf den Boden
вчетвером	вчетверо'м	four	zu viert, zu vieren
невинно	неви'нно		unschuldig, harmlos
забелин	забелин		Eigenname
монотонно	моното'нно		monoton, eintönig
итого	итого'	in all, altogether, total	insgesamt
накрест	накрест	crosswise	über Kreuz, kreuzweise
ашмарин	ашмарин		Eigenname
несложно	несложно		unkompliziert, einfach
истошно	исто'шно		brüllend, gellend
заживо	за'живо	alive	lebend, lebendig, bei lebendigem Leibe
опрометью	о'прометью	headlong	Hals über Kopf, in grösster Eile
скупо	ску'по	stingily, sparingly	geizig, knauserig, sparsam, karg
сп	сп		Abkürzung zB für СП' (социалистическая партия)
методично	методи'чно		methodisch
неимоверно	неимове'рно		unglaublich, ungeheuer
восвояси	восвоя'си	out of here	heimwärts, heim, nach Hause
навек	наве'к	for ever, for good, for ever and ever	auf ewig, für immer
вдвойне	вдвойне'	double, doubly, particularly, especially	doppelt, zweifach
сдуру	сду'ру	out of foolishness, foolishly	aus lauter Dummheit
всласть	всласть		nach Herzenslust, reichlich
невпопад	невпопа'д	not to the point, out of place, inopportunely	unpassend
чутко	чу'тко	keenly, tactfully	scharf, fein, empfindlich, feinfühlig, entgegenkommend, verständnisvoll, teilnahmsvoll
подло	по'дло	vile	gemein, niederträchtig
сгоряча	сгоряча'	in a fit of temper, in the heat of the moment, rashly	in der Hitze (des Gefechts); im Eifer / unbedacht
победно	побе'дно		Sieges-, siegreich
покойно	поко'йно	quietly	verstorben
зверски	зве'рски	brutally, bestially, awfully, terribly	tierisch, bestialisch
боязно	бо'язно		ängstlich, zum Fürchten
попусту	по'пусту	in vain, to no purpose	umsonst, für nichts und wieder nichts
накрепко	на'крепко	fast, firmly, strictly	fest
надменно	надме'нно		hochmütig, arrogant
кисло	ки'сло	sourly, acidly	sauer
покамест	пока'мест	Meanwhile	einstweilen, vorderhand
величественно	вели'чественно		majestätisch
вчетверо	вче'тверо	four times	vierfach, viermal, um das Vierfache, auf ein Viertel
нещадно	неща'дно	mercilessly	schonungslos, unbarmherzig
наискось	на'искось	obliquely, slantwise	schräg gegenüber, diagonal
немедля	неме'для		unverzüglich, ohne zu zögern
сообща	сообща'	together, jointly	gemeinsam, zusammen
индивидуально	индивидуа'льно		individuell
франциско	франциско		Eigenname
кузьмина	кузьмина		Eigenname
поверху	по'верху	on top	oben, von oben
гринек	гринек		männlicher Vorname
преспокойно	преспоко'йно	very quietly, imperturbably	seelenruhig
завенягин	завенягин		Eigenname
единогласно	единогла'сно	unanimously	einstimmig
